Ticker,Name,Market Cap,Sector,Industry
AUH.AX,AUSTCHINA FPO [AUH],2400380,Energy,Thermal Coal
AUI.AX,A.U.INV. FPO [AUI],1306699264,Financial Services,Asset Management
AUK.AX,AUMAKE LTD FPO [AUK],15053450,Consumer Cyclical,Department Stores
AUN.AX,AURUMIN FPO [AUN],30910720,Basic Materials,Gold
AUQ.AX,ALARA RES FPO [AUQ],30159696,Basic Materials,Other Industrial Metals & Mining
AUR.AX,AURISMINE FPO [AUR],2859756,Basic Materials,Other Industrial Metals & Mining
AUZ.AX,AUST MINES FPO [AUZ],19579140,Basic Materials,Other Industrial Metals & Mining
AV1.AX,ADVERITAS FPO [AV1],70596048,Technology,Software - Infrastructure
AVA.AX,AVA RISK FPO [AVA],34816680,Industrials,Security & Protection Services
AVC.AX,AUCTUS INV FPO [AVC],40541552,Financial Services,Asset Management
AVD.AX,AVADAGROUP FPO [AVD],41193476,Industrials,Infrastructure Operations
AVE.AX,AVECHO FPO [AVE],9507900,Healthcare,Biotechnology
AVG.AX,AUST VINT FPO [AVG],44477508,Consumer Defensive,Beverages - Wineries & Distilleries
AVH.AX,AVITA MED CDI 5:1 [AVH],401129280,Healthcare,Medical Devices
AVJ.AX,AVJ FPO [AVJ],356918400,Real Estate,Real Estate - Development
AVL.AX,AUSTVANAD FPO [AVL],112250584,Basic Materials,Other Industrial Metals & Mining
AVM.AX,ADVANCE FPO [AVM],5728966,Basic Materials,Coking Coal
AVR.AX,ANTERIS CDI 1:1 [AVR],337546144,Healthcare,Medical Devices
AVW.AX,AVIRARESOU FPO [AVW],2938790,Basic Materials,Other Precious Metals & Mining
AW1.AX,AWMETALS FPO [AW1],29191406,Basic Materials,Other Industrial Metals & Mining
AWJ.AX,AURICMIN FPO [AWJ],48409720,Basic Materials,Gold
AX1.AX,ACCENT GL FPO [AX1],1341417472,Consumer Cyclical,Apparel Retail
AX8.AX,ACCELERATE FPO [AX8],4635323,Basic Materials,Other Industrial Metals & Mining
AXE.AX,ARCHER MAT FPO [AXE],101938808,Technology,Semiconductors
AXI.AX,AXIOM FPO [AXI],14279561,Real Estate,Real Estate - Diversified
AXL.AX,AXEL REE FPO [AXL],12211780,Basic Materials,Other Industrial Metals & Mining
AXN.AX,ALLI NCKL FPO [AXN],22501040,Basic Materials,Other Industrial Metals & Mining
AXP.AX,AXPENERGY FPO [AXP],11649360,Energy,Oil & Gas E&P
AYA.AX,ARTRYA FPO [AYA],66042992,Healthcare,Health Information Services
AYI.AX,"AYI.AX,0P0000A1KW,0",N/A,N/A,N/A
AYM.AX,AUSTUNITED FPO [AYM],3685160,Basic Materials,Gold
AYT.AX,AYTMETALS FPO [AYT],5296760,Basic Materials,Other Industrial Metals & Mining
AZ9.AX,ASIABATMET CDI 1:1 [AZ9],31752326,Basic Materials,Other Industrial Metals & Mining
AZI.AX,ALTAMIN FPO [AZI],14362575,Basic Materials,Other Industrial Metals & Mining
AZJ.AX,AURIZON FPO [AZJ],5762997248,Industrials,Railroads
AZL.AX,ARIZONA FPO [AZL],53685720,Basic Materials,Other Industrial Metals & Mining
AZY.AX,ANTIPA MIN FPO [AZY],164829008,Basic Materials,Other Precious Metals & Mining
B4P.AX,BEFOREPAY FPO [B4P],73295768,Technology,Software - Infrastructure
BAP.AX,BAPCOR LTD FPO [BAP],1534146688,Consumer Cyclical,Specialty Retail
BAS.AX,BASS OIL FPO [BAS],16847550,Energy,Oil & Gas E&P
BB1.AX,BLINKLAB FPO [BB1],26274748,Healthcare,Health Information Services
BBC.AX,BNKBANKING FPO [BBC],38583672,Financial Services,Banks - Regional
BBL.AX,BRIS BRONC FPO [BBL],91667960,Communication Services,Entertainment
BBN.AX,BABY B FPO [BBN],213173600,Consumer Cyclical,Specialty Retail
BBT.AX,BLUEBET FPO [BBT],167037552,Consumer Cyclical,Gambling
BC8.AX,BLACK CAT FPO [BC8],424871808,Basic Materials,Gold
BCA.AX,BLK CANYON FPO [BCA],7744132,Basic Materials,Other Industrial Metals & Mining
BCB.AX,BOWENCOAL FPO [BCB],75428504,Basic Materials,Coking Coal
BCC.AX,BEAM COMS FPO [BCC],6049533,Technology,Communication Equipment
BCI.AX,BCIMINERAL FPO [BCI],793564800,Basic Materials,Steel
BCK.AX,BROCKMAN FPO [BCK],176692912,Basic Materials,Steel
BCM.AX,BRAZCRITML FPO [BCM],10504600,Basic Materials,Gold
BCN.AX,BEACON MIN FPO [BCN],97206280,Basic Materials,Gold
BCT.AX,BLUECHIIP FPO [BCT],3616890,Technology,Semiconductors
BDG.AX,BLK DRAGON CDI 1:1 [BDG],16279945,Basic Materials,Gold
BDM.AX,BURGUNDYDM FPO [BDM],106599760,Basic Materials,Other Precious Metals & Mining
